Top 50 of 107
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
13  run,,,,,,,1,,,,,,1
duathlon,,,,,,,1,2,,1,,,4
indoor triathlon,,1,1,,,,,,,,,,2
kids run,,,1,2,5,6,6,,6,4,1,1,32
relay,,,,,,,,1,,,,,1
triathlon,,,,2,,1,6,10,4,1,,,24
youth triathlon,,,,,1,,1,3,,1,,,6
1K fun run,,,,,,,2,,,,,,2
1M fun run,,,1,,2,2,,1,,5,,,11
1M run,,,,2,1,1,,,2,2,,1,9
1M walk,,,,2,2,2,,1,2,3,4,1,17
2K run,,,,,1,,,,,,1,,2
3K run,,,,,1,,,,,1,1,,3
3K walk,,,,,1,,,,,1,,,2
2M run,,1,,,,,,,1,,1,1,4
2M walk,,,,,,,,,,1,1,1,3
3M obstacle run,,,,,,1,,,1,,,,2
5K fun run,,,1,,1,1,1,,3,5,,1,13
5K mud run,,,,,,1,,,1,,,,2
5K novelty run,,,,1,2,1,1,2,1,1,,,9
5K obstacle run,,,,1,,,1,,,,,,2
5K run,2,2,5,12,22,11,17,10,22,15,12,4,134
5K trail run,,,,1,,2,,1,,1,,,5
5K walk,,,2,7,10,5,10,4,12,8,6,2,66
4M fun run,,,,,,,,,,,1,,1
4M run,1,1,,,,,,,,,,,2
5M run,,,1,1,,,,1,,,,,3
5M trail run,,,,,1,1,1,,3,1,,,7
9K run,,,,,,,,1,1,,,,2
6M trail run,,,,,,,,,,2,,,2
10K run,,1,3,8,9,7,11,4,11,8,4,1,67
10K trail run,,,1,,,1,,1,1,1,,,5
10K walk,,,1,,1,,,,,,1,1,4
12K trail run,,,,1,,,,1,,,,,2
8M relay,,,,,1,,,,,,2,,3
10M trail run,,,,,,,2,,,,,,2
13.1M relay,,,,,,2,,,,,,,2
13.1M run,,1,1,3,6,4,5,4,8,7,2,1,42
13.1M trail run,,,,,1,2,,,2,2,,,7
13.1M walk,,,,,1,,,,,,1,,2
25K trail run,,,,1,,1,1,1,,1,,,5
30K trail run,,,,,,,,,2,,,,2
26.2M run,,,,1,3,2,1,1,3,3,,,14
50K trail run,,,,1,,1,1,1,1,2,,,7
6H trail run,,,2,,,,,,,,,,2
60K trail run,,,,,,1,,1,,,,,2
50M trail run,,,,,,,1,1,,,,,2
100K trail run,,,,,,2,,,,,,,2
12H trail run,,,2,,,,,,,,,,2
100M trail run,,,1,,,,,,1,,,,2
Total,3,7,23,46,72,58,70,52,88,77,38,15,549
