Top 50 of 156
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
aquathon,,,,,,,3,1,,,,,4
duathlon,,,,,4,4,4,6,2,,,,20
fun run,,,,1,1,1,4,2,1,1,,,11
kids run,,,6,22,16,20,12,11,25,26,9,4,151
trail run,,,,,,,1,1,1,1,,,4
triathlon,,,,6,9,20,10,18,6,,,,69
walk,,1,,1,1,1,,,2,1,1,,8
youth triathlon,,,,,3,2,5,7,,,,,17
1K fun run,,,1,2,1,1,,,,1,,1,7
1M fun run,1,,1,8,5,8,9,6,8,3,4,2,55
1M run,,1,2,2,7,9,11,4,7,2,3,3,51
1M walk,1,1,5,10,10,14,15,10,21,9,14,2,112
1.5M walk,,,,,,1,2,,1,,1,,5
2.5K fun run,,,1,1,2,,1,1,,3,1,1,11
2.5K walk,,,1,1,3,1,2,2,1,4,1,,16
3K run,,,,,2,,,,1,,,3,6
3K walk,,1,1,,3,,,1,2,,,1,9
2M run,,1,,,,2,,2,1,1,1,,8
2M walk,,1,1,,1,5,6,3,,3,3,,23
3M obstacle run,,,,,,1,2,,,1,,,4
3M run,,1,1,,,,,,1,3,,,6
3M walk,,,,,,,1,,1,3,,1,6
5K fun run,,,1,3,6,3,3,2,3,4,1,,26
5K mud run,,,,,2,1,2,2,3,,,,10
5K novelty run,,1,,3,10,7,,9,8,5,,,43
5K run,10,14,37,97,92,89,84,83,105,122,72,30,835
5K trail run,1,1,2,3,7,7,1,3,5,7,3,1,41
5K walk,4,6,24,66,61,62,49,53,74,71,39,21,530
3.2M run,,,,,,1,,,2,1,,,4
4M run,,1,2,,1,4,4,3,6,,6,2,29
4M walk,,1,2,1,1,1,2,,3,,2,1,14
5M run,,1,2,1,,2,4,2,2,4,2,1,21
5M trail run,,,1,,,,1,1,,,1,,4
5M walk,,,1,,,,,,1,,1,1,4
8K run,,,,2,,,,1,2,,3,2,10
6M run,,,1,,,,1,1,,1,,,4
10K run,1,3,11,13,13,10,4,12,20,19,15,6,127
10K trail run,,,,,2,2,2,1,5,,,,12
10K walk,,,1,1,3,1,2,1,3,1,1,1,15
6.6M trail run,1,,,,1,,1,1,,,,,4
8M run,,1,,,,,1,,1,,1,,4
15K run,,,1,1,3,,,1,5,2,1,,14
15K trail run,,1,1,2,1,,,1,,1,,,7
10M run,,1,,1,2,,,,2,1,1,,8
13.1M run,,1,3,3,7,5,,4,15,14,2,4,58
13.1M trail run,1,,,,4,1,1,,2,,1,,10
13.1M walk,,,,,1,,,1,2,,,,4
26.2M relay,,,,3,,,,,,2,,1,6
26.2M run,,3,,3,,3,,1,1,4,2,,17
26.2M trail run,1,1,,,1,,1,,1,,,,5
Total,21,43,110,257,286,289,251,258,352,321,192,89,2469
