Top 50 of 100
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
duathlon,,,,2,3,2,3,,1,,,,11
indoor triathlon,1,3,2,2,1,,,,,,,,9
kids run,1,1,3,4,12,11,8,9,20,21,6,2,98
trail run,,,,,,,,,,1,1,,2
triathlon,,,,1,2,5,7,11,6,,,,32
walk,,,,,1,,1,2,,1,,,5
youth triathlon,,1,,,,1,2,3,,,,,7
1K fun run,,,,1,,1,,,,,,,2
1M fun run,,1,2,,7,6,3,3,4,6,3,,35
1M novelty run,,,,,,,,1,,,1,,2
1M run,1,2,1,2,1,2,5,3,1,5,3,1,27
1M walk,,1,1,4,4,5,3,1,6,9,3,1,38
2K run,,,,,,1,1,1,1,,,,4
2K walk,,,,,,1,1,1,2,,,,5
1.5M fun run,,,,,1,,,1,,,,1,3
1.5M run,,,,1,1,,,,,2,,,4
1.5M walk,,,,1,1,,,1,,,1,1,5
3K fun run,,,,1,,,,1,,,,,2
3K run,,,,,,1,,,1,,,,2
3K walk,,1,,,1,,1,1,1,,,,5
2M fun run,,,,1,2,2,,,,,,,5
2M run,,1,1,1,1,3,,2,1,3,1,2,16
2M trail run,,,,,,,,,,1,1,,2
2M walk,1,,,4,4,3,1,2,1,3,,2,21
5K fun run,,,,1,,3,,1,1,1,,,7
5K novelty run,,,1,1,2,3,3,8,1,2,,1,22
5K obstacle run,,,,1,1,2,,1,4,,,,9
5K run,4,12,19,44,47,36,26,31,54,59,30,14,376
5K trail run,1,,2,1,6,3,3,2,1,3,4,,26
5K walk,,1,5,17,17,14,11,10,20,30,9,6,140
4M run,,1,,,1,1,1,,,,,1,5
4M trail run,,,,,,,,,,1,1,,2
5M run,,,,,1,1,,1,,,,,3
8K run,,,,,,,1,1,,,1,,3
10K run,,1,2,8,5,9,8,8,10,10,5,,66
10K trail run,,,2,1,3,2,1,1,1,,,,11
10K walk,,,1,,1,1,1,,,,,,4
10M run,,,,,,,1,,,,1,,2
10M trail run,,1,,,,,1,,,,,1,3
13.1M run,1,1,3,6,4,,,1,3,5,4,1,29
13.1M trail run,,,,1,1,2,1,,2,1,,,8
25K trail run,,,,,,,1,,2,,,,3
26.2M run,,,2,2,,,,,,2,2,,8
26.2M trail run,,,,2,,1,,,1,,,,4
50K relay,,,,,1,1,,,,,,,2
50K run,,,,,,1,,,1,1,,,3
50K trail run,,1,,,1,,1,,2,2,,,7
50M trail run,,,1,1,,,,,1,1,,,4
100M run,,,,,,,1,,,1,,,2
100M trail run,,,1,,,,,,1,1,,,3
Total,10,29,49,111,133,124,97,108,150,172,77,34,1094
