Top 50 of 95
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
12H adventure race,,,,,,,1,,,,1,,2
duathlon,,,,,1,,,2,2,,,,5
kids run,,1,5,2,7,5,2,8,6,15,7,1,59
mud run,,,,,1,,,,1,,,,2
obstacle run,,,,,,1,,1,1,,,,3
triathlon,,2,1,2,2,4,2,4,2,1,,,20
walk,,,,,,3,,,4,1,,,8
youth triathlon,,,,,,3,,1,,,,,4
1K run,,,,1,,1,1,1,,,,,4
1K walk,,,,1,,,,,,1,,,2
1M fun run,,,1,5,8,3,2,2,6,6,,1,34
1M novelty run,,,,1,1,,,1,,1,1,,5
1M run,,,2,1,1,1,1,2,4,1,1,,14
1M walk,,,1,3,7,2,2,6,7,6,2,,36
2K run,,,,1,1,,,,,,,,2
2K walk,,,,1,1,,,,,1,,,3
1.5M fun run,1,,,1,,,,1,,,1,,4
1.5M mud run,,,,,,,,2,,,,,2
1.5M walk,,,,1,,,,,,1,,,2
3K fun run,,,1,,1,,,,,2,,,4
3K run,,,2,,1,1,,1,2,,,,7
3K walk,,,2,,1,,,,,2,1,,6
2M run,,1,,,,,,,1,1,,,3
2M walk,1,1,2,2,,1,1,2,3,2,,,15
4K run,,,,2,,,,,,,,1,3
4K walk,,,,1,,,,,,,1,2,4
5K fun run,1,,1,,1,1,,,,4,1,,9
5K mud run,,,,1,1,,,1,1,,,,4
5K novelty run,,,1,,8,4,1,2,4,7,3,,30
5K obstacle run,,,,,,1,,,2,2,1,,6
5K run,8,7,32,44,56,39,26,38,57,73,41,14,435
5K trail run,,,,1,3,2,,,2,,2,,10
5K walk,4,2,13,18,31,14,10,17,28,37,18,6,198
4M run,1,2,,,,1,,2,1,2,1,,10
4M walk,,1,,,,,,2,1,,,,4
5M run,2,,,,,,,,2,,,,4
5M trail run,1,1,,1,,,,,,,,1,4
8K run,,,,,,1,1,,1,,1,,4
10K run,1,1,2,5,7,1,2,4,7,9,2,,41
10K trail run,,,,1,1,1,,,1,1,,,5
10K walk,,,,1,1,,,1,2,,,,5
15K run,1,,,,,1,,,1,,,,3
10M run,1,,4,,,1,,,,,,,6
10M trail run,1,1,,,,1,,,,,,1,4
13.1M relay,,,,1,1,,,,,,1,,3
13.1M run,,,1,4,4,3,1,1,2,6,6,2,30
13.1M trail run,,,,1,,,,,,,1,,2
26.2M run,,,,2,1,1,,1,,3,1,,9
26.2M trail run,,,1,,,,,,,,,1,2
50K trail run,,1,,1,,,,,,1,1,,4
Total,23,21,72,106,148,97,53,103,151,186,95,30,1085
