Top 50 of 124
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,1,3,1,1,2,1,1,,,10
duathlon,,,,1,2,2,3,3,2,3,,,16
fun run,,,,,,,,,1,1,1,1,4
indoor triathlon,,2,2,1,,,,,,,,1,6
kids run,,,1,17,18,9,4,6,22,35,11,1,124
mud run,,,,,,,2,,,1,,,3
track meet,,,,,,5,4,,,,,,9
triathlon,,,,2,7,7,3,7,7,5,,,38
walk,,,,1,1,,,,,2,1,,5
youth triathlon,,,,,2,4,4,3,2,,,,15
1K fun run,,,,3,1,,1,1,2,1,1,,10
1K run,,,,,1,,,,1,2,,,4
1K walk,,,1,1,,,,,3,1,2,1,9
1M fun run,,,5,12,17,5,3,2,9,8,8,2,71
1M novelty run,,1,,,1,,,,,,,1,3
1M run,1,,,11,7,2,3,2,8,4,8,1,47
1M walk,1,,5,20,16,16,2,3,19,20,13,2,117
1.5M walk,,,,,,,,,,2,1,,3
2.5K walk,,,,,1,,,,1,1,,,3
3K walk,,,,,2,,,,2,,1,1,6
2M fun run,,,,,,,,,2,,1,2,5
2M run,2,1,,,,,,1,1,,2,1,8
2M walk,,,2,1,,1,,1,2,3,1,,11
3M run,,,1,,,,,1,1,,,,3
5K fun run,,,,3,2,2,,1,,,4,,12
5K novelty run,,,,,3,1,2,,4,3,,,13
5K obstacle run,,,,1,,1,1,,,1,,,4
5K run,9,5,44,98,107,51,27,31,80,111,81,31,675
5K trail run,1,1,1,3,6,6,1,3,3,5,7,,37
5K walk,2,1,11,26,31,10,3,11,26,32,33,8,194
6K run,,,,1,,1,1,,,,,1,4
4M run,,,1,,3,,1,,,1,,,6
5M run,,2,,,2,,,,2,,5,1,12
5M trail run,,,1,,1,,,1,,,,,3
8K run,,,,1,1,,2,3,2,1,2,2,14
10K run,2,,4,7,7,6,5,3,7,8,17,3,69
10K trail run,1,,,1,1,3,1,3,1,2,1,,14
10K walk,,,,,,2,,,1,,,1,4
15K run,,,1,,,,,1,1,1,,2,6
15K trail run,,,1,,,,1,2,,,,,4
10M run,1,1,1,3,3,1,,1,,3,1,1,16
10M trail run,1,,,,,,1,,,,1,,3
13.1M relay,,,,1,1,,,,1,,,,3
13.1M run,1,,1,3,5,1,,2,7,2,4,1,27
13.1M trail run,,,1,2,,1,,1,2,1,,,8
26.2K run,,,,2,,,,,1,,,,3
26.2M relay,,1,,,,,,,,1,1,,3
26.2M run,,1,1,1,2,,,,1,1,2,1,10
26.2M trail run,,,2,1,,1,,1,2,,,,7
50K trail run,1,2,2,,,,1,,,1,,,7
Total,23,18,89,225,254,139,77,96,227,264,210,66,1688
