Top 50 of 83
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
aquathon,,,,,,,,,1,,,,1
duathlon,,,1,,1,,,2,1,1,1,,7
fun run,,,,,1,1,,,1,2,,,5
kids run,,,1,8,12,10,16,11,16,12,7,,93
relay,1,,,,,,,,,,,,1
triathlon,1,,,,3,5,5,7,8,,,,29
walk,,,,,2,,,,1,1,,,4
youth triathlon,,,,,1,2,,2,,,,,5
1K fun run,,,,,,,,,1,1,,,2
1M fun run,,,1,2,2,2,6,3,2,2,,,20
1M run,,,,1,3,,2,1,2,1,1,,11
1M walk,,,,,1,,2,2,2,1,1,,9
3K run,,,,,,,1,,,,,,1
3K trail run,,,,,,2,,1,,,,,3
2M walk,,,,1,2,,1,,1,,,,5
2.5M mud run,,,,,2,1,,,,,,,3
2.5M walk,,,,,1,1,,,2,,1,,5
3M run,,,,,,1,1,1,,,1,,4
3M walk,,,,,,,1,,,,1,,2
5K fun run,,,,,1,1,,2,,,1,,5
5K mud run,,,,1,,1,,,,,,,2
5K novelty run,,,,1,2,3,,3,2,1,,,12
5K obstacle run,,,,,,,,2,2,,,,4
5K run,4,3,11,28,52,43,37,31,52,43,22,6,332
5K trail run,,,,,4,4,4,5,2,4,1,,24
5K walk,,1,4,12,22,18,16,14,30,17,12,3,149
4M run,1,,,2,2,1,2,1,1,,1,2,13
4M trail run,,,,,,,,1,1,,,,2
4.5M trail run,,,,,,,,,,,1,,1
4.9M walk,,1,,,,,,,,,,,1
5M run,,,1,2,,1,4,6,1,,1,,16
5M trail run,,,,,1,,,1,,1,,,3
5M walk,,,,1,1,,,1,,,,,3
8K trail run,,,,,,1,1,1,,,,,3
8.5K trail run,,,,,,1,1,1,1,1,,,5
10K run,,1,,5,2,6,3,8,,5,2,1,33
10K trail run,,,,,1,,,2,2,,,,5
10K walk,,,,1,1,1,1,1,1,,,,6
9M trail run,,,,,,,,1,1,,,,2
15K run,,,,,1,,,,,1,,,2
10M run,,1,,2,,1,,,,,,,4
12M trail run,,,,,,,,,1,,,,1
13.1M relay,,,,,,1,,1,,1,,,3
13.1M run,,,,1,4,5,1,3,6,5,2,,27
13.1M trail run,,,,,,,,,1,,,,1
25K trail run,,,,,1,,,1,,,,,2
26.2M relay,,,,,,,,,,2,,,2
26.2M run,,,,,4,2,,,,2,,,8
26.2M walk,,,,,,,,,,1,,,1
200M relay,,,,,,1,,,1,,,,2
Total,7,7,19,68,130,116,105,116,143,105,56,12,884
