Top 50 of 190
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,1,,,,,1,2,1,1,1,,7
aquathon,,,,,,1,2,2,,,,,5
duathlon,,,,1,7,6,6,8,9,1,,,38
fun run,,,,4,1,2,3,2,1,1,,1,15
indoor triathlon,4,3,3,7,,,,,,,,,17
kids run,,2,8,15,35,30,28,29,28,29,8,6,218
run,,,,,,1,,,3,,2,,6
triathlon,,,,1,11,18,22,30,10,2,1,,95
walk,,,,,3,2,,1,1,,2,,9
youth triathlon,,,,,2,4,5,3,1,,,,15
1K fun run,,,,2,,1,2,3,1,1,,,10
1K run,,,,,1,,,1,,1,,2,5
1M fun run,1,,2,14,20,15,8,9,11,16,13,5,114
1M run,3,3,1,5,14,12,16,11,9,15,5,1,95
1M walk,,,1,9,25,13,10,7,17,18,6,1,107
2K fun run,,,1,,1,1,2,,,,,,5
2K walk,,,1,,2,,1,,1,,,1,6
1.5M walk,,,,1,,,1,,2,1,,,5
3K walk,,,1,,2,1,,,,,1,,5
2M run,,2,,1,2,2,2,1,,,,1,11
2M walk,,1,1,1,5,5,1,4,2,1,3,,24
5K fun run,6,6,8,9,11,17,9,8,10,10,11,8,113
5K mud run,,,,,,2,1,2,,,,,5
5K novelty run,,,1,3,4,7,7,8,1,12,,,43
5K obstacle run,,1,,1,,6,3,3,3,1,,,18
5K race walk,,,,1,1,1,2,,1,1,,1,8
5K run,22,27,42,90,174,134,123,115,174,172,79,42,1194
5K trail run,1,,,2,6,9,4,10,10,13,8,1,64
5K walk,11,10,28,48,103,94,67,81,129,114,51,28,764
4M run,,2,2,1,1,1,3,1,2,3,1,1,18
4M walk,,,2,,,,,,1,1,1,1,6
5M run,1,1,2,,1,2,4,2,3,2,2,,20
5M trail run,,,,1,,1,,2,,1,1,,6
8K run,,1,1,,2,1,7,3,2,2,3,1,23
8K walk,,,,,,,2,2,1,,1,,6
10K run,5,5,12,23,41,34,41,30,37,33,18,8,287
10K trail run,1,,,2,,3,,5,5,5,5,,26
10K walk,,1,,2,2,2,4,2,1,6,2,,22
8M run,1,1,,,,1,,,2,,1,,6
15K run,,,1,,,2,2,1,4,,,,10
10M run,1,1,,2,,1,2,3,2,,,,12
13.1M run,1,3,5,9,16,15,9,8,21,24,6,,117
13.1M trail run,,,,2,,4,2,3,6,4,,,21
25K trail run,1,,,1,,,1,2,,1,1,,7
25M run,,,,,,4,,,,,,,4
26.2M relay,,,,,1,1,1,2,2,2,1,,10
26.2M run,,1,,3,3,3,1,2,8,3,1,,25
26.2M trail run,,,,2,,2,2,1,1,,,,8
50K trail run,1,,,2,,1,,1,1,,,,6
50M trail run,,,,,,,,2,2,,,,4
Total,60,72,123,265,497,462,407,412,526,497,235,109,3665
