Top 50 of 134
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
6H run,,,1,,,,,,1,,,1,3
adventure race,,,,,1,1,,1,2,,,,5
duathlon,,,,2,6,2,2,1,2,,1,,16
fun run,,,,1,2,1,,1,2,1,1,,9
indoor triathlon,2,3,2,,1,,,,,,,,8
kids run,1,2,6,9,17,3,12,4,19,23,11,,107
run,,,1,1,,,,,2,,1,,5
stair climb,,,1,1,,,,1,,,,,3
triathlon,,,1,3,5,4,13,10,9,,,,45
youth triathlon,,,,,1,3,3,3,2,,,,12
1M fun run,,1,10,10,8,5,10,2,9,15,6,2,78
1M novelty run,,2,,,2,,1,,,,1,,6
1M run,2,1,6,6,4,7,4,1,10,9,1,3,54
1M walk,2,2,6,15,12,8,6,5,14,22,4,3,99
3K run,1,,,,,,,,1,,,1,3
3K walk,,,,,,,,,3,2,,,5
2M fun run,,,1,,1,,,,,1,,,3
2M run,,,,1,1,1,,,2,2,,1,8
2M walk,,,1,,8,1,1,,2,3,,,16
3M run,,1,,,,,,1,,,1,,3
5K fun run,,,3,4,4,2,3,2,1,4,4,,27
5K mud run,,,,,1,,,1,1,,,,3
5K novelty run,,,4,7,7,2,3,4,3,4,2,,36
5K obstacle run,,,,,1,,2,1,,1,,,5
5K run,9,17,53,83,97,68,39,41,99,101,77,22,706
5K trail run,,,,1,,1,,3,2,2,1,1,11
5K walk,2,5,15,38,38,25,18,9,48,43,36,9,286
6K run,,,,,,2,,,1,1,,,4
4M run,1,1,2,1,1,1,4,,1,2,3,,17
4M trail run,,,,1,,,,1,1,,,,3
4M walk,,,1,1,,,1,,1,,1,,5
4.5M running tour,,,,,,,,,,2,9,8,19
5M mud run,,,,,1,,,1,1,,,,3
5M run,,,1,,1,,,1,,2,2,,7
8K run,,,2,1,2,,,,1,1,2,,9
10K run,2,4,9,7,23,15,10,10,25,24,12,2,143
10K trail run,,,1,1,2,,,2,,,2,,8
10K walk,,,1,,3,1,1,1,2,1,,,10
15K run,,1,2,,1,,1,,2,1,,1,9
15K trail run,,1,,,,,,,1,1,1,,4
10M run,,,1,1,1,1,1,1,1,1,,2,10
20K trail run,,,1,,,,,,,1,1,,3
13.1M run,1,1,4,9,8,3,,2,9,11,4,1,53
13.1M trail run,1,,1,,1,,,,,1,1,,5
13.1M walk,,,,,,1,,,,,3,,4
25K trail run,,,,2,,,,,,2,,,4
26.2M relay,,,,1,,,,,,1,2,1,5
26.2M run,,,1,3,,1,,,1,3,1,1,11
50K trail run,,,,2,,,,,,3,1,,6
50M run,,,1,1,,,,,1,,,,3
Total,24,42,139,213,261,159,135,110,282,291,192,59,1907
