Top 50 of 55
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
aquathon,,,,,1,,,,,,,,1
duathlon,,1,2,1,2,1,1,,2,1,,,11
fun run,,,,1,1,,,,1,1,1,,5
kids run,4,,1,5,4,2,1,2,4,8,6,2,39
relay,,,,,,,,,,1,,,1
triathlon,,,,3,1,3,2,3,1,2,,,15
walk,,,,,1,,,,,,,,1
youth triathlon,,,,,1,1,,1,,,,,3
1K fun run,,,1,,,,,,,,,,1
1K run,,,,,,,,,,1,,1,2
1M fun run,3,2,6,9,7,4,1,5,1,13,7,1,59
1M novelty run,,,,,1,,,,1,,,,2
1M run,,3,1,2,2,1,3,2,2,4,3,4,27
1M trail run,,,,,,,,,,1,,,1
1M walk,,2,2,2,2,1,,,,4,4,1,18
2K fun run,,,,,1,,,,,,,,1
2M fun run,,,1,,,,,1,,,,,2
2M run,,,,1,,,1,,,,,,2
2M walk,2,1,,1,,1,1,,,,2,,8
5K adventure race,,,,,1,,,,,,,,1
5K fun run,,,2,1,,,1,,,1,,,5
5K mud run,,,,,1,,,1,,,1,,3
5K novelty run,,,4,1,2,,1,1,1,2,2,1,15
5K race walk,,2,1,,,,,,,,1,,4
5K relay,,,,,,,,,,1,,,1
5K run,12,14,24,37,27,11,8,10,16,35,24,10,228
5K trail run,,1,,,,,,1,,3,1,,6
5K walk,5,2,4,15,13,6,5,6,8,17,9,3,93
4M run,,1,1,,,1,2,,,1,,,6
5M run,,,,1,,,,,,1,,,2
8K run,,,,3,,1,,,,1,1,1,7
8K walk,,,,2,,,,,,,,,2
10K run,5,4,3,5,9,,2,,1,5,3,2,39
10K trail run,,,,,,,,,,,1,,1
12K run,1,,,,,,,,,,1,,2
15K run,,,,,,,,,,,1,,1
10M run,,1,,,,,,,,,1,,2
20K trail run,,,1,,,,,,,,,,1
13.1M race walk,,,,,,,,,,,1,,1
13.1M run,2,1,2,4,1,1,,,2,,3,1,17
13.1M trail run,,1,,1,,,,,,,,,2
26.2M relay,1,,,,,,,,,,1,,2
26.2M run,1,1,,1,,,,,1,,2,,6
26.2M trail run,,,,1,,,,,,,,,1
50K run,,,,1,,,,,,,,,1
50K trail run,,,2,,,,,,,,,,2
50M run,,,,1,,,,,,,,,1
50M trail run,,,2,,,,,,,,,,2
192M relay,,,,1,,,,,,,,,1
192M run,,,,1,,,,,,,,,1
Total,36,37,60,101,78,34,29,33,41,103,76,27,655
