Top 50 of 96
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,,,3,,1,,,,,4
duathlon,,,,1,1,2,1,1,,1,,,7
fun run,,,,,,,,1,,,1,,2
indoor triathlon,1,1,,,,,,,,,,,2
kids run,,,1,3,5,10,8,8,10,9,2,1,57
novelty run,,,,,1,,1,,,,,,2
relay,,,,,,1,,,,1,,,2
track meet,,,,,,1,1,1,,,,,3
triathlon,,1,,1,2,5,5,4,1,,,,19
walk,,,,1,1,,,,,,1,,3
youth triathlon,,,,1,,2,2,2,,,,,7
1M fun run,,,1,3,3,8,8,7,6,8,2,1,47
1M mud run,,,,,,,1,1,,,,,2
1M novelty run,,,,,,1,,,,1,,,2
1M run,,,1,3,3,7,2,4,5,7,1,1,34
1M walk,,,,4,3,7,5,8,6,12,2,,47
2K run,,,,1,,,,,1,,,,2
3K run,,,,1,,3,,,,1,,,5
2M fun run,,,,1,,,1,1,,1,,,4
2M run,,,,2,,1,1,3,3,,2,,12
2M walk,,,,1,,1,2,3,3,1,,,11
2.5M run,,,1,,,,,,,1,,,2
3M trail run,1,1,,1,,,,,,,,,3
5K fun run,,,,1,3,1,1,1,3,2,,1,13
5K mud run,,,,1,,2,1,,,,,,4
5K novelty run,,,,2,1,4,2,,2,3,,,14
5K obstacle run,,,,,1,,,,,1,,,2
5K run,3,3,11,27,15,35,26,21,30,38,11,9,229
5K trail run,,1,,1,,1,1,,4,1,1,,10
5K walk,1,,3,10,7,18,14,6,18,19,2,2,100
4M run,,,,1,,,,1,2,1,,,5
4M trail run,,,,1,,,1,,,,1,,3
7K trail run,,,,,2,,,,,,,,2
5M run,2,2,3,1,1,1,1,2,2,,2,,17
5M trail run,1,,,,,,,,,1,1,,3
8K run,,,,,,,,,,2,,,2
10K relay,,,,,,1,,,1,1,,,3
10K run,1,2,4,8,2,9,7,3,10,5,,1,52
10K trail run,,,,1,1,,,,2,,1,,5
10K walk,,,,2,,,1,,1,,,,4
15K run,,,,,1,,,,,1,,,2
10M run,,,2,,,,,1,,1,,,4
12M trail run,1,1,,,,,,,,,,,2
13.1M relay,,,,1,,1,,,,,,,2
13.1M run,,,1,4,3,3,1,1,8,3,3,,27
13.1M trail run,,,,,,,,,1,,1,,2
26.2M relay,,,,,,,,1,1,,,,2
26.2M run,,,1,,1,1,,1,5,,,,9
50K run,,,,,,,,,2,,,,2
50K trail run,,,,,,,,,,1,1,,2
Total,11,12,29,85,57,129,94,83,127,123,35,16,801
