Top 50 of 140
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,1,1,1,1,1,2,1,,,8
duathlon,,,,1,8,3,7,6,10,6,,,41
fun run,,,,2,1,,,1,2,3,1,,10
kids run,,,7,19,43,33,13,11,39,71,15,5,256
mud run,,,,,,2,,,,1,,,3
run,,,,1,1,1,3,1,,,,,7
track meet,,2,,,,3,1,,,,,,6
triathlon,,,,2,13,14,13,11,9,5,,,67
walk,,,,3,2,2,,,3,3,2,,15
youth triathlon,,,,,,2,,,,1,,,3
1K fun run,,,,,2,1,,,,,1,2,6
1K walk,,,,,,2,1,,1,,,1,5
1M fun run,1,,2,14,15,14,8,7,19,29,17,6,132
1M run,,,3,8,12,9,8,1,12,6,9,1,69
1M walk,,,7,27,29,24,9,10,32,44,20,6,208
2K walk,,,,1,1,1,,,2,2,1,,8
1.5M walk,,1,,3,5,3,,,7,2,,,21
2.5K run,,,,,1,1,2,,,,,,4
2.5K walk,,,,,3,,,1,,,1,,5
3K walk,1,,,,4,,,,4,1,,,10
2M fun run,,,,1,,1,2,1,1,1,1,,8
2M run,,2,1,,1,3,,,,2,,2,11
2M walk,,2,3,2,4,5,3,2,4,8,7,2,42
3M run,1,,,1,,,,,,1,1,,4
3M walk,,,,1,,,1,,1,1,,,4
5K fun run,,,2,3,5,2,1,2,,5,1,1,22
5K mud run,,,,,,,1,1,1,1,,,4
5K novelty run,,,2,,5,2,4,2,5,7,3,,30
5K run,15,12,29,88,146,119,50,41,140,187,81,31,939
5K trail run,,,2,3,8,7,4,7,2,10,2,1,46
5K walk,1,5,6,31,56,44,11,10,46,78,25,9,322
3.7M run,,,,,,1,3,3,,,,,7
4M run,,3,,,2,1,1,1,3,2,1,,14
5M run,2,,,1,4,3,2,4,2,2,4,,24
5M trail run,1,1,3,,,2,,,1,1,,1,10
5M walk,,,,,1,1,,,,,,1,3
8K run,,,1,1,1,2,,,1,1,1,,8
10K run,,,2,6,9,6,1,1,9,12,4,,50
10K trail run,1,,1,3,1,1,,1,,1,2,1,12
15K run,,,,2,,,,,,,2,,4
10M run,,1,2,,,,,1,,3,,,7
10M trail run,1,2,1,,2,,1,1,,,,1,9
13.1M run,,,1,3,6,,,,5,7,1,,23
13.1M trail run,2,1,,1,1,,,,,,2,2,9
26.2M run,,,1,,5,,,,1,1,1,,9
26.2M trail run,1,,,2,1,,,,,,,,4
50K run,,,,,3,,,,,,1,,4
50K trail run,1,1,,1,1,,,1,1,1,,,7
50M trail run,,1,,1,,,,1,,1,,,4
100K trail run,,,,1,1,,,1,,,,,3
Total,28,34,76,234,404,316,151,131,365,508,207,73,2527
