Top 50 of 83
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,1,,,,,,,1,,,,2
aquathon,,,1,,,,,,,,,,1
duathlon,,1,,2,,2,,,,,,,5
kids run,1,2,,7,4,4,4,3,11,7,7,1,51
triathlon,,,,2,,4,3,5,3,,,,17
youth triathlon,,,,,1,,,3,,,,,4
1K fun run,,,1,,,,,2,,1,1,,5
1K run,,,,1,2,1,,1,,,2,,7
1K trail run,,,,,,,,,,,1,,1
1K walk,,,,1,,,,,1,,2,,4
1M fun run,,,,,,,,1,2,6,,,9
1M run,,1,,1,,1,,,1,3,1,,8
1M walk,,2,,1,1,2,,1,4,5,1,1,18
2K trail run,,,,,,,,1,,,,,1
1.5M walk,,,,,,1,,,1,,,,2
3K run,,,,,,1,,,,,,,1
2M run,,1,,,,,,,,,2,1,4
2M walk,1,1,,2,1,,,,,,1,,6
3.5K walk,,,,,,,,,1,,,,1
3M walk,,,,,1,,,,,,,,1
5K fun run,1,,,1,,1,1,1,,1,3,1,10
5K mud run,,,,,,1,,,,1,,,2
5K novelty run,1,,1,4,,1,1,4,3,3,1,,19
5K obstacle run,,,1,,,,,2,,,,,3
5K run,5,10,8,13,20,13,11,10,19,21,18,4,152
5K trail run,,,,1,,,,1,3,4,1,,10
5K walk,2,4,2,7,9,6,5,4,6,13,6,2,66
4M run,1,,,,,,,,,1,,,2
5M run,,1,,,,,,,,,,,1
5M trail run,1,,1,,,,,,,,,,2
8K run,,,,1,,,,,1,,1,,3
10K run,1,4,3,7,7,8,4,1,8,6,6,2,57
10K trail run,,,1,,,,,2,2,3,2,,10
10K walk,,,,,1,1,1,,,1,2,1,7
12K run,,,,1,,,,,,,,1,2
8M run,,,,,1,,,,,,,,1
15K run,,,,,,,,1,,,,,1
10M run,,,1,,,,,,1,,,,2
12M trail run,,,,,,,,,,1,,,1
20K run,,,,,,1,,,,,2,,3
13.1M relay,,,,1,,,,,,,,1,2
13.1M run,1,2,1,3,4,2,1,1,4,4,7,1,31
13.1M trail run,,,1,,1,,,,1,,1,,4
26.2K trail run,1,,,,,,,,,,,,1
26.2M relay,,,,1,1,1,,,,1,,,4
26.2M run,,1,2,2,1,1,1,,1,2,6,,17
26.2M walk,,,1,,,,,,,,,,1
50K trail run,,,,,1,1,,,1,,,,3
50M trail run,,,,,1,1,,,,,,,2
390M run,,1,,,,,,,,,,,1
Total,16,32,25,59,57,54,32,44,75,84,74,16,568
