Top 50 of 176
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,1,,2,,2,1,1,1,,8
aquathon,,2,,,,1,1,2,,,,,6
duathlon,,1,,4,7,17,13,18,6,,,,66
fun run,,,,2,2,1,,3,,,1,,9
indoor triathlon,5,6,2,3,,,,,,,,,16
kids run,,,4,29,39,28,26,42,40,57,21,8,294
run,,1,,1,,1,,6,,,1,,10
triathlon,,,,2,12,26,22,20,12,3,,,97
walk,,,,2,1,2,,3,4,2,2,,16
youth triathlon,,,,,,4,5,10,1,,,,20
1K fun run,1,,,4,2,1,,2,,2,,,12
1K run,,,1,1,,,,1,,3,,,6
1K walk,,,1,,,1,1,3,,,1,,7
1M fun run,,1,4,13,17,13,20,16,13,18,9,2,126
1M run,1,1,5,4,14,18,10,14,10,16,5,4,102
1M walk,1,,4,19,34,26,20,30,24,34,17,3,212
2K walk,,,,,,4,1,,,2,,,7
1.5M walk,,,,,4,2,1,1,,,1,,9
3K walk,,,1,3,,1,2,1,,2,1,,11
2M fun run,,,,,1,,3,2,4,1,,,11
2M run,1,1,1,2,2,3,2,3,4,1,1,,21
2M walk,,,2,2,3,3,6,2,9,4,4,,35
3M run,,1,1,1,2,,1,,,2,,,8
3M walk,,,1,,2,1,2,,,2,1,,9
5K fun run,,,1,,1,1,2,2,4,3,,1,15
5K mud run,,,,,2,2,3,3,2,,,,12
5K novelty run,,,,4,9,8,4,3,7,7,1,,43
5K obstacle run,,,,,5,1,1,3,3,3,,1,17
5K run,18,17,60,177,234,214,152,216,188,236,123,46,1681
5K trail run,,1,5,8,2,10,4,7,10,6,3,1,57
5K walk,7,4,26,77,89,88,71,95,88,125,46,22,738
4M run,1,1,4,3,7,4,8,2,8,3,7,1,49
4M walk,,1,2,1,,1,1,,3,2,2,1,14
5M run,,2,2,4,4,2,11,1,4,2,6,1,39
5M trail run,1,1,,,1,4,1,1,,1,1,2,13
5M walk,,,1,2,1,,1,,1,,2,,8
10K run,1,3,5,13,17,22,11,23,20,24,8,4,151
10K trail run,1,4,1,3,,2,,5,5,1,2,1,25
10K walk,,,1,3,2,2,,3,3,4,2,,20
15K run,,,2,,1,,,1,2,1,2,,9
10M run,1,,1,3,,3,,2,,,,,10
10M trail run,1,1,2,,,2,1,,,1,1,3,12
13.1M run,1,2,2,8,5,9,,7,12,16,9,1,72
13.1M trail run,1,,,2,1,,,,2,,,2,8
13.1M walk,,,,,1,1,,2,,2,,,6
25K trail run,,,1,1,,,,,3,,1,,6
26.2M relay,,1,,2,1,,,,2,,,,6
26.2M run,1,2,,4,2,2,,,4,4,1,,20
26.2M trail run,1,,,,1,,,,,,1,2,5
50K trail run,3,1,1,1,3,1,,,4,2,1,2,19
Total,47,55,144,409,531,534,407,557,503,593,285,108,4173
