Top 50 of 76
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
6H run,,,1,,,,,,,,,,1
aquathon,,,,,2,2,2,2,,1,,,9
duathlon,,,1,,1,,2,1,,1,,,6
fun run,,,2,2,1,,,1,2,5,3,,16
indoor triathlon,1,3,1,,1,,,,,,,,6
kids run,,,3,3,1,4,2,1,6,8,5,4,37
triathlon,,,,1,1,3,2,1,1,,,,9
walk,,,,,,,,1,1,,,,2
youth triathlon,,,,,,1,1,4,,,,,6
1K fun run,,,1,,,1,,,,1,,1,4
1M fun run,,3,9,9,13,8,8,7,18,15,9,7,106
1M novelty run,,1,,,1,,,1,,,,,3
1M run,1,,3,1,1,2,,,2,4,5,,19
1M trail run,,,,,,1,,,,1,,,2
1M walk,1,,4,4,6,6,2,3,9,11,9,2,57
2K fun run,,,,,,1,,1,,1,,,3
1.5M walk,,,,,,1,,,,,,,1
2.5K walk,,,,,,,,,,1,,,1
2M fun run,,,,,,1,,,,,,,1
2.3M run,,,,,1,,,,,,,,1
3M obstacle run,,,,,,,,,,1,,,1
5K fun run,,,,2,4,,1,,1,2,1,,11
5K mud run,,,,,,1,1,2,3,,,,7
5K novelty run,,,,3,4,2,3,4,6,4,,,26
5K run,9,7,29,26,28,24,15,19,46,47,36,14,300
5K trail run,,,,,,3,1,1,1,2,,,8
5K walk,2,2,7,14,6,6,6,2,18,16,14,1,94
3.8M adventure race,,,,,,1,,,,,,,1
4M obstacle run,,,,,,1,,1,,,,,2
4M run,,,,,1,,,,,,1,,2
5M run,,1,,,,,,,,,1,,2
5M trail run,,,,,,,,,1,,,,1
8K run,,1,1,1,1,1,,,,1,,,6
10K run,2,3,7,4,2,6,2,1,8,7,4,2,48
10K trail run,,1,,,,2,,1,,,1,,5
10K walk,,1,,,,,,,,,,,1
6.6M run,1,1,,,,,,,,1,,,3
12K trail run,,,,1,,,,,,,,,1
15K run,,,1,2,,,,,,1,,,4
1.7H trail run,,,,,,,,1,,,,,1
12M trail run,1,,,,,,,,,,,,1
13.1M run,,1,6,2,,2,,1,3,4,2,1,22
13.1M trail run,,,,,,2,,,1,,,1,4
25K run,1,,1,,2,,,,,,,,4
25K trail run,,1,,1,,,,,1,,1,,4
26.2M relay,,,,1,,,,,,,1,,2
26.2M run,,1,2,1,,,,,3,1,1,1,10
26.2M trail run,,,,,,2,,,,,,,2
50K run,1,,,,1,,,,,,,,2
50K trail run,,1,,1,,,,,1,1,1,,5
Total,20,28,79,79,78,84,48,56,132,137,95,34,870
