Top 50 of 186
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,2,2,2,2,3,4,1,,,16
aquathon,,,,,,3,4,4,,,,,11
duathlon,,,,3,4,4,4,2,1,2,,,20
kids run,2,4,6,12,23,9,17,8,14,22,13,3,133
track meet,,,1,,,3,4,,,,,,8
trail run,,,1,1,4,2,4,,3,2,,,17
triathlon,,,,3,11,9,7,7,9,1,,,47
run,,,,,,,,4,1,,,,5
1K fun run,,,,,,1,,1,2,,,,4
1K run,,,,,3,1,2,1,,2,,,9
1K walk,,,,,1,,2,,,2,,,5
1.6K run,,,,,,,,4,,,,,4
1M fun run,,,2,2,7,2,1,1,2,5,,1,23
1M run,3,2,1,,5,5,6,4,3,2,2,2,35
1M walk,,,,1,4,4,1,2,4,5,3,1,25
3K run,1,,,1,1,,1,7,2,3,,2,18
3K walk,,,,,,,1,2,,3,,,6
2M fun run,1,,,,2,,1,,,,1,,5
2M run,,2,1,,2,2,1,2,1,,1,,12
2M walk,1,2,1,1,2,2,,3,3,,1,,16
3M run,,1,,,1,2,,,,,1,,5
5K fun run,,,,1,4,6,2,3,3,7,3,2,31
5K mud run,1,1,1,,3,,1,1,,2,,,10
5K novelty run,,,,1,6,5,,2,3,4,1,,22
5K obstacle run,,,1,1,1,,,2,,,1,,6
5K run,13,23,25,35,65,52,53,53,55,58,31,27,490
5K trail run,1,1,3,3,1,1,5,4,4,5,1,1,30
5K walk,5,8,9,16,36,29,32,27,24,28,17,12,243
4M run,,1,,,1,,,,,,2,,4
4M trail run,,,,,2,2,4,3,4,2,1,,18
5M run,,,2,1,3,3,,,2,,,,11
8K run,,1,2,3,1,2,2,2,3,3,2,1,22
8K trail run,1,,,1,1,,,,,,1,,4
6M trail run,,,1,,2,3,4,3,3,2,1,,19
10K run,6,9,15,21,35,23,27,22,25,34,15,5,237
10K trail run,1,1,2,1,1,1,2,2,3,1,1,,16
10K walk,1,1,2,5,8,4,4,6,3,3,,,37
7M trail run,,,,,,1,,2,,1,1,1,6
12K run,,,,,,,1,2,1,,,1,5
15K run,1,3,3,1,3,1,2,1,,3,2,,20
10M run,,,2,1,2,1,,,1,,,,7
10M trail run,,1,1,1,,1,,,,,1,,5
13.1M run,3,3,5,8,18,8,7,10,13,8,3,4,90
13.1M trail run,,,3,,1,,1,3,4,1,1,,14
13.1M walk,,1,,2,2,2,,,1,1,,,9
25K trail run,,3,,1,,1,,,,2,1,,8
30K trail run,1,,,1,1,,,,,1,,,4
26.2M run,,1,,2,4,3,3,1,2,3,,,19
50K run,1,,,,1,,2,,1,4,,,9
50K trail run,1,2,,2,2,1,,1,2,2,1,1,15
Total,44,71,90,134,276,201,210,205,206,225,109,64,1835
