Top 50 of 100
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
duathlon,,1,1,2,1,2,,1,,1,,,9
fun run,1,,,1,,,,,1,2,1,1,7
kids run,1,1,14,15,16,2,4,5,3,12,8,5,86
novelty run,,,1,,,,,,,1,1,,3
stair climb,,,,,,,1,,1,,,,2
triathlon,1,1,3,5,5,5,6,3,5,4,,,38
walk,2,1,1,,1,,,,,2,,,7
youth triathlon,,,,,1,1,,3,2,,,,7
1M fun run,2,2,5,4,7,1,1,3,5,3,7,1,41
1M novelty run,,1,,,,,,,,1,,,2
1M run,1,3,3,3,4,1,1,2,2,6,4,2,32
1M walk,1,,3,4,4,,2,,3,4,6,3,30
2M fun run,1,,,,,,,,1,,3,,5
2M run,,,,,,,,,1,3,,,4
2M walk,,,,,,,,,1,1,2,,4
4K fun run,,,1,4,5,,,,,,,,10
4K trail run,,,3,4,5,,,,,,,,12
5K fun run,,,2,4,7,,,,1,1,1,1,17
5K mud run,,,,1,3,1,,,,,,,5
5K novelty run,,,5,7,3,1,2,,,1,1,,20
5K obstacle run,,,1,1,1,,,,1,,1,,5
5K run,22,26,49,63,68,21,17,22,36,58,60,30,472
5K trail run,1,2,3,4,3,4,3,3,2,2,2,2,31
5K walk,6,13,26,27,28,9,4,12,16,23,22,11,197
3.5M mud run,,,,,1,,,,1,,,,2
6K walk,,1,,,,,,,1,,,,2
4M novelty run,,1,1,,,,,,,,,,2
5M run,1,,,1,,,,,1,,4,,7
5M trail run,,,,2,,,,,,,,,2
5M walk,,,,1,,,,,1,,,,2
8K run,,2,2,2,,1,2,,,,2,1,12
8K trail run,1,,,,1,,,,,,,,2
10K run,2,5,8,4,7,1,3,1,7,11,9,2,60
10K trail run,1,,,1,,,,,,2,1,1,6
10K walk,1,,1,1,1,,2,,,1,,,7
12K run,,,,,1,,,1,,1,,,3
12K trail run,,1,,,1,,,,1,,,,3
15K run,2,1,1,,,1,,,,1,,,6
15K trail run,,,,,1,,,1,,,,,2
16K trail run,1,,,,,,,,,,1,,2
10M run,1,,,,,,,,,,1,,2
13.1M run,2,3,7,5,5,1,,1,,5,4,4,37
13.1M trail run,,,,,1,,1,,,2,2,,6
26.2M relay,,,,1,,,,,,1,,,2
26.2M run,1,3,2,1,2,1,,,,2,,2,14
50K run,,1,1,,1,,,,,1,,1,5
50K trail run,,,,,1,1,,,,2,1,1,6
100K relay,,,,,1,1,,,,,,,2
100K trail run,,,,1,,1,,,,,,,2
100M relay,,,,,1,1,,,,,,,2
Total,52,69,144,169,187,57,49,58,93,154,144,68,1244
