Top 50 of 55
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
duathlon,,,,,2,1,,2,1,,,,6
kids run,,1,,1,,7,4,2,4,1,1,,21
obstacle run,,,,,1,,,,,,,,1
triathlon,,,,1,1,3,2,4,2,,,,13
youth triathlon,,,,,,,,,2,,,,2
fun run,,,,,,,1,,,,,,1
1M fun run,,,,,,1,1,,,,,,2
1M run,,,,2,,,1,1,1,,1,1,7
1M walk,,,,1,1,3,1,1,1,,,,8
2K run,,,,1,,,,,,,,,1
1.5M walk,,,,,1,,,,,,,,1
3K mud run,,,,,,,,1,,,,,1
3K walk,,,,,,,,,,1,,,1
2M fun run,1,,,1,,,1,,,,,,3
2M run,,,,,,,,,,,1,,1
2M walk,,,,1,,,1,,,,,,2
3M run,,,,,,,,,,,1,,1
3M walk,,,,,1,,,,,,,,1
5K fun run,,1,1,,2,,,,1,,1,,6
5K mud run,,,,,,,,1,,,,,1
5K novelty run,,,,,1,1,1,1,2,,,,6
5K run,,1,2,8,10,14,9,7,14,6,3,,74
5K trail run,,,,,,,,1,,1,,,2
5K walk,,1,1,4,9,9,5,4,8,2,1,,44
6K fun run,,,,,,,1,,,,,,1
6K walk,,,,,,,1,,,,,,1
4M run,1,,,1,,,,,,1,,,3
4M trail run,,,,,,1,,,,,,,1
5M run,,,,1,,,,,,,,,1
8K trail run,,,,,,,,1,,,,,1
5.3M run,,,,,,1,,,,,,,1
10K relay,,,,,,1,,,,,,,1
10K run,,,,2,2,9,6,,,2,,,21
10K trail run,,,,,1,1,1,,,1,1,,5
10K walk,,,,,1,1,,,,,,,2
12K trail run,,,,,,,,1,,,,,1
8M trail run,,,,,,,1,,,,,,1
15K run,,,,,,,,,1,,,,1
11M trail run,,,,,,,,,,1,,,1
13.1M run,,,,1,1,2,2,1,3,1,,,11
13.1M trail run,,,,,,,,1,,,,,1
15.2M relay,,,,,,,,,1,,,,1
15.2M run,,,,,,,,,1,,,,1
30K trail run,,,,,,,,1,,,,,1
26.2M relay,,,,,1,,,,,1,,,2
26.2M run,,,,1,1,2,,1,2,1,,,8
50K trail run,,,,,,,,1,,,,,1
50M trail run,,,,,,1,,1,,,,,2
100K trail run,,,,,,1,,,,,,,1
100M trail run,,,,,,1,,1,,,,,2
Total,2,4,4,26,36,60,39,34,44,19,10,1,279
