Top 50 of 218
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,3,5,3,1,,,1,5,3,,21
aquathon,,,1,5,3,4,6,4,3,,,,26
duathlon,,2,3,6,3,2,,,3,3,3,3,28
fun run,,2,1,3,4,1,1,1,1,5,3,5,27
indoor triathlon,4,,1,6,,,,,1,,,,12
kids run,16,21,32,46,43,15,11,11,40,64,56,25,380
stair climb,1,3,,,3,,,1,,1,,,9
track meet,3,1,,,,3,4,,,,,,11
triathlon,,,9,25,23,15,22,13,36,15,5,,163
walk,,1,1,2,1,1,1,,1,1,2,1,12
youth triathlon,,,1,6,3,7,6,3,9,2,1,,38
1K fun run,,4,3,11,9,8,6,4,8,14,11,4,82
1K run,3,2,9,6,7,2,2,3,3,15,6,5,63
1K walk,2,2,3,1,5,1,1,,3,6,5,1,30
1M fun run,7,6,20,36,28,12,8,5,33,39,27,22,243
1M novelty run,1,2,,,2,,,,1,1,2,,9
1M run,9,7,11,21,21,8,7,8,20,27,19,10,168
1M walk,9,7,10,29,18,10,9,6,31,40,28,12,209
3K run,,,2,1,1,1,,1,,4,3,,13
3K walk,,,3,4,,1,1,1,1,1,4,1,17
2M run,1,2,1,1,1,,1,3,1,2,4,1,18
2M walk,,4,2,4,3,,1,1,3,5,5,1,29
3M run,,,,,,3,4,1,,,2,1,11
5K fun run,2,7,14,18,12,5,4,2,8,14,22,13,121
5K mud run,,,,11,10,,1,3,3,5,2,,35
5K novelty run,5,1,19,16,20,9,6,5,9,19,15,4,128
5K obstacle run,,2,3,4,2,1,,1,,,,1,14
5K run,96,117,184,269,228,97,86,74,198,299,249,130,2027
5K running tour,,,,,,,,,,1,12,9,22
5K trail run,5,4,4,8,3,4,3,6,7,5,4,4,57
5K walk,19,41,56,85,80,36,21,32,75,118,101,33,697
4M run,,2,,2,1,1,4,,,3,4,1,18
5M run,3,,4,1,4,,1,1,2,1,8,3,28
8K run,,,2,,3,1,,2,2,2,1,1,14
10K run,28,20,30,40,46,13,14,14,45,60,50,23,383
10K trail run,5,3,7,7,4,6,4,8,7,4,4,3,62
10K walk,,3,2,5,3,1,1,,5,1,4,1,26
15K run,1,3,2,2,1,,1,,4,3,2,,19
10M run,1,2,1,3,2,,1,1,2,3,4,2,22
13.1M relay,2,1,1,,1,1,,,,3,6,2,17
13.1M run,20,15,20,17,7,5,9,5,6,42,34,25,205
13.1M trail run,1,3,5,1,,,,1,3,,,2,16
25K trail run,3,,2,5,1,1,,,1,2,4,1,20
30K trail run,1,,1,2,1,1,1,2,1,,1,1,12
26.2M relay,1,,2,1,1,,,,1,,1,2,9
26.2M run,10,6,3,4,4,2,7,2,3,17,12,19,89
26.2M trail run,1,2,3,,,,,,3,,,1,10
50K run,1,1,,,,,2,1,2,2,1,2,12
50K trail run,3,1,3,5,,,,1,2,3,5,1,24
50M trail run,1,3,1,2,,,,,1,3,1,2,14
Total,265,303,485,726,615,279,257,227,589,860,736,378,5720
