Top 50 of 209
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,2,3,3,2,3,4,4,,,21
duathlon,2,1,1,3,3,2,4,4,3,,,,23
indoor triathlon,,2,1,1,1,,,,,,,,5
kids run,1,4,12,10,14,20,15,19,17,21,11,4,148
relay,,,1,,1,1,,2,,1,,,6
track meet,,,,,,4,4,4,,,,,12
triathlon,,,1,,5,12,20,11,8,,,,57
walk,,,2,,2,,,1,,,1,,6
youth triathlon,,,,,,1,2,3,,,,,6
1K fun run,,,2,,,1,2,1,,,1,,7
1K run,,,2,,1,,,1,1,,,,5
1M fun run,,,1,2,1,1,4,3,,2,2,,16
1M run,1,1,1,,3,2,8,,1,3,4,3,27
1M walk,,,1,,1,4,1,3,3,2,4,1,20
3K walk,,1,,,1,2,1,,1,,,,6
2M run,1,1,1,2,5,2,4,1,5,1,3,2,28
2M walk,1,1,1,2,4,2,2,1,2,2,2,2,22
3M run,2,1,2,2,3,1,,2,1,,,,14
trail run,,,,,1,1,1,1,1,,,,5
5K fun run,1,1,3,7,4,5,4,6,3,6,2,1,43
5K mud run,,,,,2,1,2,,1,,,,6
5K novelty run,,,1,2,6,4,4,10,1,5,,,33
5K obstacle run,,,1,,1,,,1,1,2,1,,7
5K run,14,17,41,49,62,57,65,47,72,62,51,30,567
5K trail run,1,,,2,3,3,3,1,3,4,,1,21
5K walk,4,9,14,27,28,31,28,28,32,27,20,13,261
4M run,1,1,2,3,1,,3,,2,,,,13
5M run,3,,2,1,1,2,1,,1,1,1,,13
5M trail run,,2,2,4,2,3,1,2,3,3,1,1,24
8K run,,1,1,,4,,3,,1,,,,10
10K run,7,8,15,16,18,25,18,17,31,27,17,12,211
10K trail run,1,2,1,2,4,2,3,2,3,2,,1,23
10K walk,,1,2,3,5,,1,2,2,2,2,1,21
7M trail run,1,,1,1,,,1,,,,,,4
12K run,,,1,1,4,1,,,1,,1,1,10
15K run,1,2,2,1,4,1,2,1,3,3,,2,22
10M run,3,,,,1,,,,1,,1,,6
10M trail run,,1,2,1,1,2,1,2,1,1,,,12
13.1M run,7,5,8,16,9,13,11,6,25,15,8,3,126
13.1M trail run,,5,4,6,4,3,2,4,3,3,2,2,38
13.1M walk,,1,1,3,1,1,,,2,1,1,,11
25K trail run,2,,,3,3,1,,,2,,,1,12
20M trail run,,2,,1,,,1,,1,1,,,6
26.2M relay,,,,1,2,2,,,,2,,,7
26.2M run,1,2,2,7,3,9,3,,10,6,6,5,54
26.2M trail run,,2,2,3,4,2,,2,1,,1,,17
50K run,3,,1,1,1,,,,2,,2,1,11
50K trail run,1,3,2,7,3,5,,1,4,6,1,1,34
50M trail run,,,1,2,1,2,1,,,,,,7
100K trail run,,,,2,,,,,1,1,,,4
Total,59,77,141,196,231,234,228,192,260,216,146,88,2068
