Top 50 of 202
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
aquathon,,,,,2,3,4,2,,,,,11
duathlon,1,,,2,3,3,4,4,3,1,,,21
fun run,,,,,2,2,5,1,2,2,4,2,20
indoor triathlon,4,4,8,2,,,,,,,2,1,21
kids run,5,3,6,15,51,28,34,29,45,37,15,6,274
mud run,,,,,,1,,1,2,,,,4
triathlon,,2,,,9,22,18,17,16,1,,,85
walk,,,1,,2,2,1,1,3,4,1,1,16
youth triathlon,,,,,3,3,8,6,3,,,,23
1K fun run,,,1,,,1,2,,,,2,,6
1K walk,,,1,,,1,1,,,,1,,4
1M fun run,2,1,,3,2,2,4,5,6,10,2,2,39
1M novelty run,,1,,,,,,,1,,2,,4
1M run,3,2,1,1,5,9,9,9,1,9,3,1,53
1M walk,2,3,5,2,14,9,5,8,13,13,3,3,80
2K run,,,,1,,1,1,1,,,,,4
2K walk,,,,1,1,1,3,2,,1,,1,10
1.5M walk,,1,,,1,1,,1,1,,1,,6
3K run,,2,,,,2,,1,1,,,,6
3K walk,,,1,1,2,5,1,2,2,1,1,1,17
2M fun run,1,1,,,,1,1,1,1,,,,6
2M run,,,1,2,3,10,13,5,3,3,4,1,45
2M walk,3,2,4,3,11,15,21,9,13,7,13,1,102
3M run,3,1,2,,1,,,,,,2,1,10
3M walk,1,,2,,1,1,,2,2,1,1,,11
5K fun run,1,,3,1,7,4,5,9,7,7,2,2,48
5K mud run,,,,,1,2,1,5,2,,,,11
5K novelty run,,,1,3,10,6,4,5,10,4,,1,44
5K obstacle run,,2,1,,1,2,,2,2,,,,10
5K run,20,23,32,56,122,113,97,102,120,119,67,23,894
5K trail run,1,,1,5,6,10,5,6,8,13,1,,56
5K walk,7,10,15,40,75,68,57,59,81,86,36,17,551
4M run,1,,,1,1,1,4,7,2,2,1,,20
4M walk,,,,,1,2,2,4,1,2,,,12
5M run,5,1,3,2,4,9,10,2,3,2,10,4,55
5M walk,,,,,2,1,2,1,2,1,1,1,11
8K run,,1,,1,,4,1,,2,,,,9
10K run,8,8,6,9,19,22,22,17,31,17,10,3,172
10K trail run,1,,,3,5,9,3,2,3,4,,,30
10K walk,2,,,,1,3,3,1,2,1,,1,14
15K run,,1,,,,,,2,,3,2,,8
10M run,,,2,1,2,1,3,,,1,,1,11
13.1M run,1,2,2,10,17,9,4,15,17,8,4,1,90
13.1M trail run,,,,,3,,2,1,4,2,,,12
13.1M walk,,,,,2,,,,,1,1,,4
26.2M relay,1,,,1,2,1,,1,2,1,,,9
26.2M run,1,,,5,4,3,,2,6,5,3,,29
26.2M trail run,,,,,,,2,,3,1,,,6
50K trail run,,1,,1,2,1,2,,1,2,2,,12
50M trail run,,,,,1,,1,,,2,1,,5
Total,74,72,99,172,401,394,365,350,427,374,198,75,3001
