Top 50 of 80
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
24H adventure race,,,,,1,,,,,,,,1
35 mud run,,,,,,,,1,,,,,1
duathlon,,,,,,,1,1,,,,,2
fun run,,,,,,,,,,2,,,2
kids run,,,3,1,5,4,4,4,5,6,1,2,35
run,,,,,,,,,,2,,,2
triathlon,,,,,,,2,4,1,,,,7
walk,,,,,,,1,,,1,,,2
1K walk,,,,,,,,,1,,1,,2
1M fun run,,,1,,,,1,1,1,2,,,6
1M run,,,,,2,,,2,,,1,,5
1M walk,,,,1,2,1,,1,1,2,1,,9
1.5M walk,,,,,1,,,,,,,,1
2M fun run,,,,1,,1,,1,,,,,3
2M run,1,,,,1,1,,,,1,1,,5
2M walk,,,1,1,1,,1,1,1,,1,,7
3M walk,,,,1,,,,,,,,,1
5K fun run,,,,,,,1,1,,,2,,4
5K mud run,,,,,,,1,,,,,,1
5K novelty run,,,,,,,,2,,2,,,4
5K run,2,1,9,18,24,13,13,16,15,42,12,6,171
5K trail run,,,1,,,1,,,,,,,2
5K walk,1,1,4,9,13,8,7,10,7,23,9,4,96
6K run,,,,,,,,1,,,1,,2
6K walk,,,,,,,,1,,,,,1
4M trail run,,,,,1,1,,,,,,,2
5M run,,,,,,,1,,1,,,,2
5M trail run,,,,,,,,,1,1,,,2
10K run,,,1,1,2,1,3,3,3,3,1,,18
10K trail run,,,,,,,,1,1,1,,,3
10K walk,,,,,,,,,1,,1,,2
7M novelty run,,,,,,,,,,1,,,1
8M run,1,,,,,,,,,,,,1
8M trail run,,,,,,,,1,,1,,,2
8M walk,,,,,,,,1,,,,,1
15K run,,,,,1,,,,,,,,1
15K trail run,,,,,1,,,,,1,,,2
9.3M trail run,,,,1,,,,,,,,,1
10M trail run,,,,,,1,,,,1,,,2
12M run,1,,,,,,,,,,,,1
13.1M run,,,2,1,3,,,1,1,4,1,1,14
13.1M trail run,1,,,1,,1,,,1,1,,,5
13.1M walk,1,,,,1,,,,1,,,,3
15M run,,,,,,,,,1,,,,1
25K trail run,1,,1,,,,,1,,,1,,4
16.2M run,,,1,,,,,,,,,,1
26.2M run,,,,,,,,,2,2,1,,5
26.2M trail run,,,,,,,,,1,,,,1
50K trail run,1,,1,,1,,1,1,,1,,,6
40M trail run,,,,,,1,,,,,,,1
Total,10,2,25,36,60,34,37,56,46,100,35,13,454
