Top 50 of 56
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
24H run,,,,1,,,,,,,,,1
adventure race,,,,,,,1,,,,,,1
duathlon,,,,,,,,1,,,,,1
kids run,,,,2,1,3,,,2,,,,8
triathlon,,,,,1,5,3,5,,,,,14
youth triathlon,,,,,,,,1,,,,,1
1K run,,,,,,1,,,,1,,,2
1M fun run,,,,,,1,1,,,,,,2
1M run,,,1,,,,1,1,3,,1,,7
1M walk,,,,,2,2,1,2,3,,,,10
2K fun run,,,,,,,,,1,,,,1
1.5M run,,,,,1,,,,,,,,1
1.5M walk,,,,,1,,1,,,,,,2
2M run,1,,,,,,,,,,,,1
5K fun run,,,,,,2,,,1,,,,3
5K novelty run,,,,,4,3,4,5,1,,,,17
5K run,1,,3,5,13,8,8,9,7,8,7,,69
5K trail run,,,,,,3,2,,,,,,5
5K walk,,,1,2,5,5,3,7,1,1,3,,28
4M fun run,,,,,,,,,,1,,,1
4M run,,1,,,1,,,,,,,,2
4M walk,,,,,1,,,,,1,,,2
5M run,,,1,,,,,,,,,,1
8K novelty run,,,,,,,,1,,,,,1
5.9M trail run,,,,,,,1,,,,,,1
6.1M trail run,,,,,,,,1,,,,,1
6.1M walk,,,,,,,,1,,,,,1
10K run,,,3,,2,3,1,3,3,1,2,,18
10K trail run,,,,,,3,1,,1,,,,5
10K walk,,,,,,1,,,2,,,,3
8M trail run,,,,,,,1,,,,,,1
13K trail run,,,,,,1,,,,,,,1
15K trail run,,,,,,2,,,,,,,2
10M run,,,,,,,,,1,,,,1
10M trail run,,,,,1,,,,,1,,,2
10M walk,,,,,,,,,,1,,,1
21K trail run,,,,,,,1,,,,,,1
13.1M run,,,,,2,4,2,1,5,,,,14
13.1M trail run,,,,,,,,1,,,,,1
13.1M walk,,,,,,,,,1,,,,1
25K run,,,,,,1,,,,,,,1
16M trail run,,,,,,,1,,,,,,1
18M run,,,,,,1,,,,,,,1
30K trail run,,,,,,,,,1,,,,1
23M trail run,,,,,1,,,,,,,,1
26.2M run,,,,,1,1,,1,2,,,,5
50K run,,,,,1,,,,,,,,1
50K trail run,,,,,,,,,1,,,,1
52M run,,,,,,1,,,,,,,1
100M run,,,,,,1,,,,,,,1
Total,2,1,9,10,38,52,33,40,36,15,13,,249
